"","Alachua","Baker","Bay","Bradford","Brevard","Broward","Calhoun","Charlotte","Citrus","Clay","Collier","Columbia","DeSoto","Dixie","Duval","Escambia","Flagler","Franklin","Gadsden","Gilchrist","Glades","Gulf","Hamilton","Hardee","Hendry","Hernando","Highlands","Hillsborough","Holmes","Indian River","Jackson","Jefferson","Lafayette","Lake","Lee","Leon","Levy","Liberty","Madison","Manatee","Marion","Martin","Miami-Dade","Monroe","Nassau","Okaloosa","Okeechobee","Orange","Osceola","Palm Beach","Pasco","Pinellas","Polk","Putnam","Santa Rosa","Sarasota","Seminole","St. Johns","St. Lucie","Sumter","Suwannee","Taylor","Union","Volusia","Wakulla","Walton","Washington"
"Putnam",78.917,319.467,149.45,154.55,106.6,257.717,238.917,230.017,112.967,33.833,280.417,105.867,229.267,122.7,77.633,351.933,282.2,299.483,208.183,134.85,254.883,299.867,132.9,203.267,266.25,107.95,249.2,154.5,260.6,172.7,88.817,67.283,194.783,93.767,142.583,170.55,93.3,293.217,149.917,185,126.933,159.133,276.817,162.167,110.8,302.517,205.817,251.417,149.367,223.883,128.083,185.483,171.3,0,329.967,199.75,180.533,50.9,175.55,109.8,149.867,105.533,282.2,60.833,214.6,196.5,257.417
"Santa Rosa",253.667,38.5,385.833,368.7,388.217,517.233,125.217,444.167,327.1,302.55,494.55,235.367,444.1,336.833,288.683,24.483,540.317,209.933,138.167,364.983,489.617,180.4,231.867,431.733,496.717,322.1,508.733,368.65,80.917,440.867,374.533,277,164.017,347,199.65,384.7,289.35,63.933,193.75,399.133,222.233,373.283,534.917,376.3,318.65,35.783,440.917,150.15,363.517,483.417,342.217,399.633,396.883,328.1,0,413.9,394.683,301.567,445.35,323.95,288.017,265.833,72.983,339.517,175.783,457.6,90.267
"Sarasota",170.05,402.233,141.7,77.45,158.05,181.667,321.683,55.65,127.433,229.683,106.05,189.85,62.117,83.583,246.867,434.7,197.6,390.3,290.95,121.45,117.733,382.617,215.217,79.533,102.033,138.95,192.233,91.6,343.367,197.517,154.367,236.517,277.55,145.583,225.35,46.55,167.383,375.967,232.683,24.95,209.25,66.35,194.917,70.983,280.033,385.283,137.983,334.183,64.583,212.2,78.95,79.7,91.567,203.333,412.733,0,71.117,227.733,188.117,103.167,230.1,233.4,364.967,181.383,305.417,193.767,340.183
"Seminole",152.383,384.567,127.85,44.233,144.2,225.517,304.017,99.5,111.567,212.017,149.9,172.183,99.433,65.917,233,417.033,241.45,357.067,273.283,107.583,172.55,373.517,197.55,96.2,145.883,118.583,236.083,77.983,325.7,184.633,140.517,224.5,259.883,127.917,207.683,57.617,149.717,358.3,215.017,50.35,191.583,54.1,238.767,57.133,266.15,367.617,175.3,316.517,39.05,225.45,61.283,23.133,77.717,185.667,395.067,68.533,0,213.867,189.117,85.5,196.883,215.733,347.3,166.983,272.2,199.617,322.517
"St. Johns",99.65,291.317,148.933,201.283,106.083,257.2,210.767,257.833,159.683,22.05,308.233,97.783,231.783,169.417,39.533,323.8,281.7,269.217,180.05,133.867,254.367,271.717,104.75,205.8,268.767,154.683,248.683,182.1,232.45,172.183,88,29.717,166.633,135.883,114.45,198.367,133.833,265.067,121.767,212.817,98.783,177.183,276.3,169.567,72.7,274.367,205.3,223.267,185.5,223.383,174.8,216.383,173.817,50.85,301.817,227.567,211.433,0,175.033,156.533,176.45,73.717,254.05,86.833,187.233,195.983,229.267
"St. Lucie",200.417,432.617,82.517,177.967,85.933,105.25,352.067,166.033,160.85,185,182,220.233,125.25,168.4,194.05,465.083,128.317,414.767,321.333,97.567,100.933,413,245.6,127.683,122.733,172.383,96.75,160.1,373.733,17.467,128.867,183.7,307.933,142.033,255.733,173.25,197.767,406.35,263.067,179,239.633,154.4,122.933,146.783,227.217,415.667,51.867,364.567,162.7,71.433,173.517,193.6,115.1,176.2,443.1,186.3,188.65,174.917,0,150.167,257.933,227.717,395.333,146.867,329.883,28.083,370.55
"Sumter",80.233,312.417,89.25,58.783,102.25,220.667,231.867,134.25,35.783,139.867,184.65,100.033,134.183,26.917,164.033,344.9,243.733,294.567,201.15,68.4,193.033,292.817,125.417,118.117,180.617,47.3,212.15,48.017,253.55,144.283,90.117,152.35,187.733,48.683,135.55,74.783,77.583,286.167,142.867,89.233,119.45,63.367,238.333,70.317,194,295.467,144.333,244.367,53.6,186.833,32.317,89.717,83.267,113.533,322.917,103.983,84.767,160.933,148.767,0,137.75,143.583,275.15,91.967,209.7,161.017,250.367
"Suwannee",79.233,277.667,198.883,167.467,211.9,330.3,194.6,257.833,114.95,163.267,308.217,80.4,257.767,149.9,160.933,310.133,353.383,217.6,166.383,178.05,302.683,234.05,112.283,244.8,304.2,105.7,321.8,181.717,218.8,253.933,189.667,149.25,140.25,160.067,110.617,197.767,62.733,251.4,117.083,208.667,104.317,186.35,347.983,189.367,190.9,260.717,253.983,203.133,178.45,296.483,155.283,194.133,209.95,148.667,288.167,226.867,193.1,173.817,258.417,137.017,0,129.817,240.383,154.667,132.717,270.65,215.617
"Taylor",77.467,254.483,203.85,188.867,161,312.117,173.933,264.333,147.283,75.333,314.733,54.817,264.267,157.017,61.467,286.95,336.617,232.383,143.2,188.8,309.283,234.867,67.917,251.917,316.9,142.267,303.617,188.817,195.6,227.1,142.917,49.783,129.8,167.183,77.6,204.867,109.517,228.217,84.933,219.317,61.95,193.45,331.217,196.483,91.433,237.533,260.217,186.433,183.683,278.3,162.4,219.8,217.067,107.083,264.983,234.067,214.85,74.35,229.95,144.117,130.917,0,217.2,141.75,150.4,250.9,192.433
"Union",206.85,60.583,339.017,321.883,341.4,470.417,78.4,397.35,280.283,255.733,447.733,188.55,397.283,290.017,241.867,93.05,493.5,165.8,91.35,318.167,442.8,136.267,185.05,384.933,449.9,275.283,461.917,321.833,34.1,394.05,327.717,230.183,117.2,300.183,152.833,337.883,242.533,18.433,146.933,352.333,175.417,326.467,488.1,329.483,271.833,43.633,394.1,103.333,316.7,436.6,295.417,352.817,350.067,281.283,71.083,367.083,347.867,254.75,398.533,277.133,241.2,219.017,0,292.7,128.967,410.783,43.45
"Volusia",94.683,326.867,107.35,139.933,78.267,229.367,246.333,212.317,94.983,89.467,262.7,114.5,186.25,108.067,110.217,359.35,253.867,309.033,215.6,92.283,216.917,307.267,139.867,160.267,223.233,95.35,220.867,125.433,268,144.35,37.883,99.867,202.2,50.767,150,152.85,96.75,300.617,157.333,167.283,133.9,131.667,248.467,124.033,143.383,309.917,168.217,258.817,134.75,195.55,113.45,170.867,128.3,59.217,337.367,182.05,165.917,91.083,147.217,90.483,156.917,143.883,289.6,0,224.15,168.15,264.817
"Wakulla",138.35,166.033,272.117,244,270.917,403.517,63.283,330.45,191.5,185.233,380.833,118.05,330.383,223.117,171.367,198.5,426.6,93.383,54.45,251.267,375.9,109.833,114.55,318.017,383,182.25,395.017,254.933,107.15,327.15,260.817,159.683,25.333,233.283,82.333,270.983,139.267,139.767,76.433,285.217,104.933,259.567,421.2,262.583,201.35,149.083,327.2,71.817,249.8,369.7,228.5,270.683,283.167,213.3,176.533,303.4,269.65,184.25,331.633,210.233,132.733,148.533,128.75,225.8,0,343.883,103.983
"Walton",211.85,444.033,103.167,192.317,106.567,94.617,363.483,174.4,172.267,205.633,174.167,231.65,133.617,179.817,214.683,476.5,120.5,426.183,332.75,108.983,109.3,424.417,257.017,142.833,131.1,183.8,86.117,171.517,385.15,42.417,149.5,204.35,319.35,153.45,267.15,187.6,209.183,417.767,274.483,190.3,251.05,168.75,115.1,161.133,247.867,427.083,60.233,375.983,177.05,60.8,187.867,207.95,129.45,196.833,454.533,194.667,203,195.55,26.75,161.583,269.35,248.35,406.75,167.5,341.3,0,381.983
"Washington",180.817,77.983,312.983,295.85,315.383,444.4,52.367,371.333,254.267,229.7,421.717,162.517,371.25,264,215.833,110.45,467.467,142.05,65.317,292.15,416.767,112.517,159.017,358.9,423.883,249.267,435.9,295.8,13.5,368.033,301.683,204.15,91.183,274.167,126.8,311.85,216.5,51.733,120.9,326.3,149.4,300.45,462.083,303.467,245.817,61.033,368.067,77.317,290.667,410.583,269.383,326.8,324.05,255.25,88.483,341.05,321.85,228.733,372.517,251.117,215.167,193,40.717,266.683,102.95,384.75,0
