"","Albany","Allegany","Bronx","Broome","Cattaraugus","Cayuga","Chautauqua","Chemung","Chenango","Clinton","Columbia","Cortland","Delaware","Dutchess","Erie","Essex","Franklin","Fulton","Genesee","Greene","Hamilton","Herkimer","Jefferson","Kings","Lewis","Livingston","Madison","Monroe","Montgomery","Nassau","New York","Niagara","Oneida","Onondaga","Ontario","Orange","Orleans","Oswego","Otsego","Putnam","Queens","Rensselaer","Richmond","Rockland","Saratoga","Schenectady","Schoharie","Schuyler","Seneca","St. Lawrence","Steuben","Suffolk","Sullivan","Tioga","Tompkins","Ulster","Warren","Washington","Wayne","Westchester","Wyoming","Yates"
"Sullivan",117.683,197.55,242.383,119.083,203.133,74.35,226.467,123.2,86.95,37.967,60.833,56.45,151.183,185.183,158.8,219.383,223.967,43.733,196.083,88.45,39.533,50.517,122.233,131.483,60.183,153.917,37.267,200.717,195.5,128.4,249.367,168.367,17.267,32.983,106.617,142.217,96.383,59.133,86.517,196.467,254.117,117.083,116.967,145.983,144.067,100.983,102.417,50.5,93.533,149.05,55.45,310.8,0,115.567,131.433,163.6,72.067,188.733,127.05,244.917,135.85,158.367
"Tioga",152.233,125.333,195.533,130.617,159.55,102.933,179.867,17.4,36.2,135.7,131.833,69.333,96.633,179.85,174,259.25,298.4,118.033,123.85,55.283,113.567,141.867,116.967,181.517,158.8,185.917,115.483,151.217,140.95,162.95,194.817,191.6,123.8,89.267,147.183,60.017,170.167,133.433,109.633,236.183,207.267,151.633,106.083,91.433,183.783,141.533,123.317,144.683,108.5,222.833,154.067,263.95,114.483,0,76.883,178.383,126.4,190.383,82.517,198.05,126.533,181.933
"Tompkins",126.333,193.083,141.867,103.383,227.3,140.417,247.633,85.167,52.4,114.517,105.733,85.617,39.1,122.5,241.75,233.367,272.5,134.35,191.617,60.117,95.017,115.767,75.283,155.617,150.733,142.3,103.517,93.867,83.583,137.067,154.05,249.067,123.95,105.583,187.3,127.783,186.483,149.75,83.75,210.3,153.6,125.75,173.85,34.067,157.883,115.633,97.417,118.583,178.8,239.15,136.733,210.283,130.8,77.533,0,120.783,100.283,133.017,150.283,144.4,194.283,239.067
"Ulster",59.083,291.533,101.167,70.833,325.75,213.217,346.067,183.617,150.85,146.483,132.3,184.05,106.933,35.917,297.667,177.033,216.183,189.083,290.067,158.867,173.833,121.967,91.417,102.883,169.983,30.683,164.9,59.483,52.617,61.95,113.35,307.217,153.433,179.917,248.3,226.233,241.717,204.467,137.3,153.967,112.9,58.65,255.817,89.883,101.567,69.833,86.9,127.517,232.383,275.133,156.817,169.583,163.617,175.983,117.1,0,128.717,43.2,248.717,103.683,274.7,297.217
"Warren",82.95,242.433,207.667,61.117,249.417,120.633,272.75,134.517,93.1,46.3,16.167,105.35,133.95,150.45,205.083,184.967,223.683,96.517,240.967,92.617,49.617,26.2,55.9,95.983,77.417,116.417,41.367,165.983,159.117,93.683,219.833,214.65,60.867,87.333,155.717,177.133,149.15,111.9,21.267,161.9,219.383,82.367,163.233,115.183,109.5,66.4,53.2,29.033,139.8,189.583,64.25,276.083,71.033,126.883,101.933,128.883,0,152.583,173.317,210.183,182.133,204.65
"Washington",81.933,305,87.3,91.3,339.217,236.717,359.533,197.067,164.3,170,155.8,197.517,110.717,27.717,321.167,197.067,236.217,212.583,303.533,179.833,202.85,145.483,117.933,122.917,193.483,40.183,194.6,64.4,54.25,72.117,105.1,330.733,176.95,203.417,271.8,239.683,265.233,227.967,157.767,174,96.383,81.833,279.317,103.35,121.6,93.333,107.367,151.017,255.883,295.167,180.333,153.117,187.117,189.45,130.567,43.533,153.217,0,262.183,83.583,298.217,320.733
"Wayne",218.4,89.2,268.85,203.933,123.417,75.65,143.733,67.5,109.517,139.15,161.567,96.617,169.95,253.167,137.867,320.117,311.65,112.267,87.717,118.317,150.017,151.25,190.283,232.217,160.917,254.65,147.75,224.533,214.267,229.133,268.133,155.467,125.917,107.6,92.433,23.817,171.867,117.4,182.95,297.2,280.583,217.817,65.517,164.75,244.8,201.717,196.633,151.233,38.117,224.533,156.183,337.267,123.733,79.95,150.2,251.717,172.8,263.7,0,271.367,90.4,146.667
"Westchester",140.233,314.383,18.033,151.983,348.6,261.7,368.917,206.45,173.683,227.633,213.45,206.9,124.517,84.9,363.05,258.183,297.317,255.65,312.9,193.633,234.983,203.117,176.6,184.033,251.133,108.917,243.483,63.167,79.833,140.85,30.483,370.35,234.583,226.867,308.583,249.067,307.767,271.033,215.017,235.117,18.867,139.8,295.15,117.15,182.717,150.983,168.05,208.667,300.1,356.283,237.967,76.733,244.767,198.833,144.35,102.2,209.867,85.217,271.567,0,315.583,360.35
"Wyoming",228.983,87.3,310.85,230.383,94.5,88.683,126.75,109.483,151.517,149.717,172.133,141.65,211.95,295.167,63.917,330.683,322.233,122.833,89.3,170.583,160.583,161.817,233.533,242.783,171.5,265.217,158.333,266.533,256.267,239.7,310.133,76.417,136.483,118.167,69.317,90.35,182.433,127.967,197.817,307.767,322.567,228.383,55.983,206.75,255.367,212.283,213.717,161.8,81.817,235.1,166.75,379.267,134.3,125.55,192.2,274.9,183.367,300.05,88.867,313.367,0,68.667
"Yates",251.533,130.95,357.833,252.95,107.433,111.25,130.767,166.75,194.7,172.283,194.7,164.2,258.933,319.05,63.117,353.25,344.783,134.117,141.317,196.217,183.15,184.383,256.1,265.35,194.05,287.783,180.883,313.533,303.25,262.267,357.133,58.417,159.05,140.733,77.733,147.617,205,139.25,220.383,330.333,369.567,250.95,96.433,253.733,277.933,234.85,236.283,184.367,107.8,257.667,189.317,426.25,156.867,182.817,239.2,297.467,205.933,322.6,145.85,360.367,67.883,0
