"","Alameda","Alpine","Amador","Butte","Calaveras","Colusa","Contra Costa","Del Norte","El Dorado","Fresno","Glenn","Humboldt","Imperial","Inyo","Kern","Kings","Lake","Lassen","Los Angeles","Madera","Marin","Mariposa","Mendocino","Merced","Modoc","Mono","Monterey","Napa","Nevada","Orange","Placer","Plumas","Riverside","Sacramento","San Benito","San Bernardino","San Diego","San Francisco","San Joaquin","San Luis Obispo","San Mateo","Santa Barbara","Santa Clara","Santa Cruz","Shasta","Sierra","Siskiyou","Solano","Sonoma","Stanislaus","Sutter","Tehama","Trinity","Tulare","Tuolumne","Ventura","Yolo","Yuba"
"Marin",31.417,445.7,135.083,261.45,135.933,110.017,41.967,335.05,113.45,172.917,134.267,242.95,505.883,382.217,256.3,301.7,179.717,230.1,328.15,153.3,0,166.2,157.05,127.767,338.383,292.6,124.517,44.933,375.25,356.617,104.467,220.5,370.417,79.85,148.067,369.433,430.75,31.033,166.017,216.917,50.567,307.517,65.017,91.933,192.4,63.217,262.65,44.85,36.967,168.783,122.833,153.1,294.333,209.817,164.667,329.85,78.267,104.6
"Mariposa",145.633,378.4,134.283,420.717,112.533,198.883,151.433,494.317,169.683,80.267,223.133,402.217,438.583,249.183,169.567,209.05,268.583,318.967,260.85,60.65,168.167,0,317.533,46.3,404.033,159.633,167.8,177.433,308.433,289.783,164.867,280.9,303.6,142.017,171.2,302.6,363.917,159.917,101.85,214.667,153.3,297.3,158.717,175.883,282.483,151.817,352.733,162.983,190.233,124.9,190.65,243.2,384.433,117.65,95.217,273.383,161,173.517
"Mendocino",179.15,593.433,268.817,197.55,282.3,186.383,181.75,271.15,247.183,320.667,211.117,179.05,653.617,529.95,404.033,449.433,256.567,306.95,475.883,301.033,154.25,313.717,0,275.283,415.867,428.633,272.033,170.317,522.767,504.133,238.733,354.767,517.933,214.1,295.583,516.933,578.25,178.55,313.533,364.433,198.083,455.033,212.533,239.45,269.883,210.733,340.133,179.1,158.067,316.3,207.817,230.583,363.317,357.333,312.167,477.35,206.567,220
"Merced",106.817,351.083,114.35,381.9,106.217,160.067,112.617,455.5,135.45,52.95,184.317,363.4,411.25,295.183,142.25,181.717,229.767,280.15,233.517,33.317,128.95,46.133,278.317,0,364.817,205.633,128,138.217,280.7,262.067,125.65,241.683,275.867,102.8,131.417,274.883,336.2,120.7,74.117,186.95,114.083,269.583,119.5,136.1,243.283,112.6,313.517,123.783,151.017,120.383,151.433,203.983,345.217,89.917,90.7,245.65,121.783,134.3
"Modoc",340.15,704.083,311.15,328.1,332.7,255.617,319.717,312.9,291.933,412.3,236.383,342.7,740.3,402.75,501.617,541.083,187.533,170.533,586.233,392.683,340.767,405.417,417.95,366.983,0,295.833,426.467,320.2,609.717,614.533,242.567,148.433,611.433,274.8,450.017,602.633,693.233,342.983,423.933,518.867,358.75,609.467,369.65,396.583,171.583,362.767,162.7,301.933,333.017,351.367,276.117,203.333,208.217,449.033,372.25,598.117,274.833,277.8
"Mono",274.467,414.083,200.2,502.7,194.667,280.5,281.367,558.867,193.367,231.867,304.75,513.583,450.317,112.75,280.217,360.45,350.2,312.1,318.1,222.283,296.233,161.483,431.5,207.15,293.617,0,328.65,274.967,319.6,347.1,228.467,170.483,321.317,222.85,332.067,312.517,403.117,287.983,262.7,367.817,281.367,370.15,286.783,313.7,346.083,279.883,383.433,256.683,287.767,199.667,271.483,324.033,423.717,270.8,152.25,346.217,241.833,254.35
"Monterey",103.35,409.583,189.417,379.6,185.683,197.867,118.817,453.2,201.3,154.133,222.133,361.1,469.75,380.167,220.167,282.917,267.583,317.95,292.017,134.517,126.6,169.717,275.967,130.767,427.017,329.217,0,144.367,339.15,320.517,193.1,309.133,334.317,168.483,89.683,333.333,394.65,113.117,137.933,135.35,95.167,225.95,78.033,47.433,281.033,69.8,351.283,133.483,155.9,218.55,211.467,241.733,382.967,191.067,211.583,248.283,166.9,193.233
"Napa",55.067,458.15,116.833,275.833,130.317,91.767,37.383,349.433,95.183,185.367,116.017,257.35,518.317,388.233,268.733,314.133,161.467,211.85,340.583,165.733,46.85,178.9,172.083,140.467,321.133,277.133,144.617,0,387.95,369.317,87.233,203.267,383.117,62.6,168.15,382.133,443.45,58.367,178.717,237.017,74.15,327.617,87.8,114.717,175.15,80.917,245.4,27.6,25.2,168.967,105.6,135.867,277.1,222.517,170.933,349.933,61.033,87.35
"Nevada",356.35,107.65,382.783,631.433,382.933,424.3,362.15,705.033,403.883,233,448.55,612.933,135.3,206.133,152.7,349.717,494,544.383,57.433,251.2,378.433,307.85,527.8,281.067,605.117,316.4,340.833,387.7,0,46.517,394.033,481.983,15.2,368.2,299.85,11,97,370.183,248.183,225.033,363.55,135.85,346.433,354.967,507.45,338.183,577.7,376.8,400.5,397.067,415.617,468.167,609.4,197.6,367.383,111.933,385.967,398.483
"Orange",337.833,98.867,364.267,612.933,364.433,405.8,343.65,686.533,385.383,214.5,430.05,594.433,174.35,232.8,134.2,331.217,475.5,525.867,36.65,232.7,359.517,288.933,508.883,262.15,614.283,342.667,321.917,368.783,46.7,0,375.117,491.15,36.633,349.283,280.933,44.7,83.517,351.267,229.267,206.35,344.65,117.183,327.517,336.067,488.533,319.267,558.783,357.9,381.6,378.15,396.7,449.25,590.483,178.683,348.467,93.25,367.05,379.567
