"","Autauga","Baldwin","Barbour","Bibb","Blount","Bullock","Butler","Calhoun","Chambers","Cherokee","Chilton","Choctaw","Clarke","Clay","Cleburne","Coffee","Colbert","Conecuh","Coosa","Covington","Crenshaw","Cullman","Dale","Dallas","DeKalb","Elmore","Escambia","Etowah","Fayette","Franklin","Geneva","Greene","Hale","Henry","Houston","Jackson","Jefferson","Lamar","Lauderdale","Lawrence","Lee","Limestone","Lowndes","Macon","Madison","Marengo","Marion","Marshall","Mobile","Monroe","Montgomery","Morgan","Perry","Pickens","Pike","Randolph","Russell","Shelby","St. Clair","Sumter","Talladega","Tallapoosa","Tuscaloosa","Walker","Washington","Wilcox","Winston"
"Choctaw",150.267,177.35,234.333,128.35,183.55,178.5,0,132.683,117.183,245.75,61.417,0,164.9,160.317,196.333,205.65,232.617,133.35,202.45,163.933,157.633,176.95,223.15,172.583,215.6,168.033,140.6,189.55,143.167,181.933,220.15,70.783,79.533,242.85,202.95,74.45,51.633,224.483,254.367,231.7,188.483,213.783,125.017,185.017,211.633,30.267,98.967,209.667,132.417,105.417,155.117,124.85,98.967,104.9,184.467,140.583,94.65,167.667,172.783,134.95,183.5,218.717,94.833,165.6,153.883,140.1,192.133
"Clarke",122.65,72.183,210.3,108.083,92.067,204.367,163.95,153.333,79.683,105.15,205.933,163.95,0,76.583,115.3,219.5,206.817,187.25,118.717,208.417,183.5,73.333,224.133,81.083,131.867,130.033,217.3,105.817,34.55,156.133,255.933,102.683,122.083,243.85,46.25,226.8,150.133,143.45,97.05,147.967,213.717,110.167,152.033,103.983,108.017,178.85,131.75,125.933,260.25,218.867,129.317,69.933,131.75,85.817,184.283,110.483,246.767,96.833,89.05,77.483,102.467,153.25,75.183,23.583,128.95,190.583,34.8
"Clay",92.083,61.75,179.75,83.517,27.967,173.817,161.1,122.783,55.117,147.35,192.833,161.1,78.133,0,71.783,188.95,176.25,156.7,60.783,177.867,152.933,61.367,193.583,22.8,73.933,99.483,186.75,47.9,104.6,125.583,225.367,99.833,115.9,213.283,93.1,213.7,147.283,99.933,138.717,90.033,183.15,98.2,121.483,60.467,96.05,175.95,107.183,68,229.683,188.317,98.767,38.883,107.183,115.083,153.717,79.933,243.933,69.217,31.133,54.067,58.95,117.3,74.833,59.583,98.4,160.017,93.1
"Cleburne",127.25,107.483,181.467,119.417,82.517,208.983,197,157.95,91,193.083,228.717,197,116.533,71.117,0,228.7,148.8,191.867,57.417,213.033,188.1,107.1,228.05,87.85,92.9,131.567,221.917,60.233,143,126.5,265.133,135.733,151.783,207.55,135.067,249.6,183.183,44.05,184.45,67.467,222.917,143.933,156.65,44.833,141.783,211.833,143.083,89.4,264.85,223.483,133.933,74.067,143.083,150.967,193.483,115.1,279.817,96.583,59.083,92.45,44.05,87.1,110.733,97.983,133.567,195.2,131.5
"Coffee",116.417,214.95,63.833,176.55,217.25,29.25,203.333,99.95,188.267,300.533,175.05,203.333,223.983,191.283,229.767,0,110.217,89.733,233.417,53.7,48.667,214.55,32.683,208.017,246.567,115.65,108.117,220.517,250.45,107.9,41.5,225.967,198.867,72.533,242.533,175.8,190.067,214.917,291.9,262.667,22.433,251.383,101.3,222.667,249.25,173.3,178.55,240.633,166.617,125.25,97.45,171.333,178.55,248.25,42.483,161.217,182.1,149.567,203.75,193.917,194.967,144.667,208,205.433,101.433,90.333,238.967
"Colbert",101.417,199.95,50.083,161.55,202.267,115.317,232.867,110.9,173.283,285.533,218.55,232.867,209,176.3,148.717,110.25,0,144.817,192.417,158.967,110.15,199.567,96.667,193.017,229.283,100.65,174.867,195.233,235.45,58.65,146.683,220.8,193.683,68.867,227.533,226.983,206.683,126.933,276.917,210.583,115.917,236.383,109.6,174.133,234.25,202.833,173.383,224.417,217.817,176.433,82.467,156.333,173.383,233.25,82.65,146.217,233.3,134.583,189.95,178.917,146.45,77.5,193,190.433,86.45,148.15,223.967
"Conecuh",81.717,180.25,143.633,140.55,182.567,68.733,132.867,50.817,153.583,265.833,89.233,132.867,189.3,156.6,192.3,90.8,144.15,0,198.717,41.833,66.95,179.867,118.8,173.317,211.867,80.95,35.633,185.833,215.75,93.467,98.067,161.733,136.083,152.167,207.833,89.983,123.05,195.933,257.217,227.967,78.7,216.683,59.133,180.983,214.55,102.833,125.35,205.933,80.817,36.45,66.65,136.633,125.35,208.35,93.783,126.517,96.3,114.883,169.067,159.217,168.833,130.25,173.3,170.733,65.417,14.55,204.267
"Coosa",133.833,96.6,225.95,125.267,52.017,215.55,202.85,164.533,96.867,180.067,234.583,202.85,119.883,59.633,60.783,230.683,193.3,198.45,0,219.6,194.683,88.717,235.333,77.3,52.883,141.233,228.5,18.833,146.35,171.267,267.117,141.583,157.65,252.033,127.933,255.45,189.033,88.533,171.433,52.283,224.9,126.417,163.217,44.317,124.283,217.7,148.933,48,271.433,230.067,140.5,80.633,148.933,156.833,195.467,121.683,285.683,110.967,37.8,95.8,71.95,131.85,116.583,101.333,140.133,201.767,136.6
"Covington",101.15,199.683,111.217,159.983,201.983,39.417,163.017,70.233,173,285.267,129.533,163.017,208.717,176.017,211.733,53.1,159.75,42.217,218.15,0,50.75,199.283,81.1,192.75,231.3,100.383,57.467,205.25,235.183,112.9,60.383,188.433,162.783,117.15,227.267,130.283,149.75,215.35,276.633,247.4,49.267,236.117,78.55,200.417,233.967,132.983,148.117,225.35,122.467,77.7,86.083,156.067,148.117,235.05,78.033,145.95,137.967,134.3,188.483,178.65,188.267,149.667,192.733,190.167,84.85,42.817,223.7
"Crenshaw",77.783,176.317,79.15,137.917,178.633,23.5,157.85,52.55,149.65,261.9,143.517,157.85,185.35,152.667,188.367,50.65,111.017,67.3,194.783,50.283,0,175.917,67.983,169.383,207.933,77.017,97.35,181.9,211.817,89.533,80.617,178.567,151.467,87.683,203.9,149.467,144.583,192,253.283,224.033,33.467,212.75,53.9,177.05,210.617,127.8,131.15,202,140.3,98.917,62.717,132.7,131.15,209.617,29.3,122.583,155.783,110.933,165.117,155.283,164.9,126.3,169.367,166.8,61.483,70.633,200.333
