"","Arkansas","Ashley","Baxter","Benton","Boone","Bradley","Calhoun","Carroll","Chicot","Clark","Clay","Cleburne","Cleveland","Columbia","Conway","Craighead","Crawford","Crittenden","Cross","Dallas","Desha","Drew","Faulkner","Franklin","Fulton","Garland","Grant","Greene","Hempstead","Hot Spring","Howard","Independence","Izard","Jackson","Jefferson","Johnson","Lafayette","Lawrence","Lee","Lincoln","Little River","Logan","Lonoke","Madison","Marion","Miller","Mississippi","Monroe","Montgomery","Nevada","Newton","Ouachita","Perry","Phillips","Pike","Poinsett","Polk","Pope","Prairie","Pulaski","Randolph","Saline","Scott","Searcy","Sebastian","Sevier","Sharp","St. Francis","Stone","Union","Van Buren","Washington","White","Woodruff","Yell"
"Independence",275.45,116.05,292.133,199.967,234.917,323.95,196.817,282.983,192.35,176.733,301.333,253.567,140.667,152.967,160.85,171.033,223.067,220.817,123.4,279.75,122.233,267.567,307.383,76.383,280.633,314.133,194.217,176.733,274,230.267,156.867,0,72.483,88.55,150.733,159.967,288.383,147.467,188.95,188.117,335.133,196.967,201.383,232,223.5,239.7,220.35,224.75,230.633,260.083,165.783,291.867,173,177.2,283,189.283,97.583,166.15,191.233,191.05,264.333,271.6,194.783,163.017,216.8,338.583,123.15,216.133,86.4,176.167,207,278.183,332.05,169.817,173.9
"Izard",205.9,43.383,239.35,153.15,233.1,277.133,124.15,233.083,141.35,118.533,254.517,180.9,122.583,109.533,142.783,112.833,213.367,161.533,180.233,226.967,49.583,214.767,260.567,18.65,233.817,267.317,195.4,118.533,227.183,183.433,138.8,73.333,0,145.383,78.067,216.8,235.583,89.267,192.5,244.95,288.3,197.8,132.2,159.333,165.3,186.917,162.15,166.55,183.817,213.267,126.883,270.383,154.933,119,236.183,116.617,155.367,165.95,133.033,130.8,211.55,218.817,133.95,94.333,235.717,291.767,50.5,170.1,41.467,103.5,225.9,231.367,279.25,97.15,230.733
"Jackson",233.15,172.133,249.833,157.65,149.95,281.633,196.333,240.667,150.033,250.1,238.967,229.317,118.45,226.333,119.517,241.117,139.883,236.667,85.483,237.45,155.65,225.25,245.017,147,238.333,271.817,105.667,250.1,231.683,186.617,105.517,90.3,143.1,0,200.383,103.667,246.067,220.833,100.383,131.817,300.417,108.4,159.067,220.067,243.183,197.4,245,288.2,188.333,217.767,142.117,208.683,116.283,245.817,236.217,233.7,28.8,83.917,259.85,148.75,222.033,229.283,152.467,170.4,147.533,276.217,178.883,289.483,110.283,160.267,137.717,235.867,289.733,198.95,117.6
"Jefferson",152.75,40.717,193.983,107.783,204.483,231.767,81.4,187.733,96,70.383,209.15,117.683,137.05,70.983,98.983,51.267,185.833,96.783,250.483,181.6,47.2,169.417,215.217,84.783,188.467,221.967,166.783,70.383,181.817,138.083,108.917,148.133,75.383,200.3,0,231.417,190.233,38.95,163.9,239.917,242.95,169.183,86.833,94.6,102.9,141.55,99.75,104.15,138.467,167.917,85.867,225.017,127.4,55.967,190.833,49.65,206.3,137.333,70,85.45,166.183,173.45,88.583,48.983,207.1,246.4,33.5,121.967,89.9,58.15,197.283,186,233.9,48.9,247.517
"Johnson",253.033,259.8,269.717,177.533,101.7,301.533,216.233,260.55,169.933,283.467,220.8,249.2,142.05,299.433,139.4,264.333,161.15,256.55,81.65,257.333,243.333,245.15,198.033,220.1,258.217,292.6,78.633,283.467,251.567,207.883,125.4,163.4,216.2,103.983,233.533,0,265.967,263.217,74.383,33.617,232.4,94.2,178.95,239.95,263.067,217.283,264.883,295.4,208.217,237.667,162.017,154.867,136.183,269.033,225.167,255.35,132.4,105.2,283.067,168.633,241.917,249.183,172.367,193.683,62.283,207.7,266.567,335.033,197.95,180.15,52.483,263.95,309.633,215.917,22.267
"Lafayette",146.95,204.283,114.95,103.5,228.383,89.583,165.283,23.983,113.1,240.383,131.367,172.5,170.6,240.983,133.883,221.267,175.417,205.617,315.65,46.383,197.833,90.367,147.7,246.517,81.05,79.567,200.333,240.383,65.817,112.917,142.467,288.533,237.117,245.083,190.45,264.967,0,220.15,197.433,273.467,135.533,202.733,128.017,189,212.117,75.817,213.933,244.45,85.267,56.117,155.483,175.25,160.033,225.967,97.983,212.283,243.983,170.883,240,117.683,120.383,77.517,115.117,150.617,240.65,140.417,211.033,291.967,227.717,137.083,230.833,78.583,92.417,172.833,281.067
"Lawrence",182.5,69.15,223.733,137.533,234.217,261.517,111.133,217.467,125.733,45.883,238.9,147.433,166.8,46.483,128.733,40.183,215.567,89.967,258.183,211.35,82.083,199.15,244.95,85.483,218.217,251.7,196.533,45.883,211.567,167.833,138.667,148.45,90.15,223.317,38.767,261.167,219.967,0,193.633,269.667,272.7,198.933,116.583,120.833,92.65,171.3,89.5,93.9,168.2,197.65,115.617,254.767,157.15,46.35,220.567,60.667,232.367,167.083,60.383,115.183,195.933,203.2,118.333,78.717,236.833,276.15,61.8,96.433,117.817,87.9,227.033,215.75,263.65,78.65,277.25
"Lee",184.233,181.583,200.917,108.733,50.167,232.733,147.433,191.75,101.133,214.667,191.45,180.417,73.25,215.267,70.6,195.533,92.367,187.767,136.833,188.533,165.117,176.35,178.917,212.033,189.417,222.917,8.633,214.667,182.783,139.083,56.617,191.25,193.383,100.933,164.733,72.083,197.167,194.417,0,80.567,213.267,25.4,110.167,171.15,194.267,148.483,196.083,226.6,139.417,168.867,93.217,129.3,67.383,200.233,188.7,186.55,109.767,36.4,214.283,99.833,173.117,180.383,103.567,124.883,47.75,188.583,188.333,266.233,152.133,111.35,37.95,186.967,240.833,147.117,88.167
"Lincoln",259.083,256.433,275.767,183.6,107.75,307.583,222.283,266.6,175.983,289.517,226.85,255.267,148.1,290.117,145.45,270.4,167.217,262.617,109.2,263.383,239.967,251.2,204.083,249.483,264.267,298.65,84.683,289.517,257.633,213.95,131.467,192.783,245.583,133.367,239.583,33.717,272.017,269.267,80.45,0,238.45,100.25,185.017,246,269.117,223.333,270.95,301.45,214.267,243.717,168.067,160.917,142.233,275.083,231.217,261.4,161.783,111.25,289.133,174.683,247.967,255.233,178.417,199.733,70.933,213.75,263.183,341.083,227.333,186.217,58.533,270,315.683,221.967,37.467
"Little River",249.633,258,244.067,141.25,162.25,96.85,219.133,146.383,155.767,294.117,61.567,252.117,218.767,294.717,182.05,275,161.317,259.467,306.583,175.5,251.567,219.483,82.617,300.25,61.933,73.85,212.833,294.117,73.55,141.967,190.633,336.683,290.85,300.283,244.183,231.1,137.133,273.883,212.333,243.217,0,209.433,181.867,242.85,265.967,204.933,267.8,298.3,116.717,86.383,203.133,96.017,197.783,279.7,72.3,266.017,299.183,216.967,293.733,171.533,234.533,206.633,168.967,204.333,185.567,28.3,264.767,345.7,275.883,190.817,187.4,73.817,216.417,226.567,247.2
