"","Adams","Ashland","Barron","Bayfield","Brown","Buffalo","Burnett","Calumet","Chippewa","Clark","Columbia","Crawford","Dane","Dodge","Door","Douglas","Dunn","Eau Claire","Florence","Fond du Lac","Forest","Grant","Green","Green Lake","Iowa","Iron","Jackson","Jefferson","Juneau","Kenosha","Kewaunee","La Crosse","Lafayette","Langlade","Lincoln","Manitowoc","Marathon","Marinette","Marquette","Menominee","Milwaukee","Monroe","Oconto","Oneida","Outagamie","Ozaukee","Pepin","Pierce","Polk","Portage","Price","Racine","Richland","Rock","Rusk","Sauk","Sawyer","Shawano","Sheboygan","St. Croix","Taylor","Trempealeau","Vernon","Vilas","Walworth","Washburn","Washington","Waukesha","Waupaca","Waushara","Winnebago","Wood"
"Forest",129.233,303.967,242.733,337.383,84.567,209.083,46.567,21.467,265.333,177.967,170.85,201.8,91.283,212.633,121.017,106.383,89.433,214.883,195.35,15.883,0,233.633,140.317,60.45,132.183,258.45,41.4,92.517,56.517,107.95,94.433,189.45,197.533,165.617,187.583,57.75,130.65,126.1,68.983,115.6,68.883,140.317,107.5,80.983,58.783,56.967,249.8,103.6,40.65,87.117,159.467,102.467,222.65,122.817,242.7,109.05,291.767,105.367,36.933,292.483,189.517,194.183,79.367,155.767,112.45,319.9,203.167,75.5,74.117,86.8,45.633,140.883
"Grant",150.467,159.783,43.833,182.583,200.267,109.083,210.617,231.233,142.1,75.017,87.133,206.117,173.367,97.733,238.35,155.933,185.783,43.433,253.9,219.9,231.283,0,237.017,195.067,208.017,190.65,250.717,210.233,210.983,276.533,231.367,136.917,38.65,176.65,195.683,233.117,110.15,234.233,189.583,171.4,237.433,237.017,215.633,192.917,202.083,261.083,86.3,228.267,247.133,156.933,165.033,271.05,90.05,219.167,44.967,148.133,92.833,163.067,250.317,88.567,77.917,106.417,237.25,141.167,241.017,165.1,49.267,226.95,166.05,177.067,201.183,117.433
"Green",137.7,352.933,250.85,386.333,187.717,204.5,105.633,145.9,314.3,226.917,188.4,133.517,72.833,208.05,229.083,105.05,61.45,210.3,298.483,129.767,139.667,238.867,0,137.017,58.5,307.4,129.883,96.65,104.033,129.15,215.583,184.867,215.383,244.617,259.233,183.917,179.6,229.25,126.45,217.95,115.533,0,210.65,184.55,161.133,139.183,245.217,219.017,131.467,92.833,227.067,134.6,271.6,48.767,250.817,97.85,299.883,207.717,164.033,300.6,184.933,189.6,95.467,204.717,78.4,368.867,198.583,111.1,165.783,135.867,147.983,182.833
"Green Lake",73.383,285.517,208.75,318.933,88.2,162.383,50.9,64.783,246.883,159.517,146.3,195.117,81.733,165.933,129.583,56.183,86.967,168.183,198.983,48.233,59.6,196.75,137.867,0,129.717,240,76.9,93.533,60.85,139.333,116.067,142.75,173.267,168.45,190.433,111.333,112.2,129.733,26.25,118.433,100.267,137.867,111.133,85.05,61.617,103.333,203.1,119.5,73.317,58.983,153.45,133.85,204.2,120.367,208.7,75.517,257.767,108.2,90.5,258.483,142.817,147.483,110.75,137.317,142.217,301.45,156.467,106.95,61.95,42.317,48.483,116.15
"Iowa",109.1,339.883,223.9,362.683,179.917,177.367,97.817,138.1,314.2,220.65,161.45,74.383,62.967,179.5,221.283,96.783,53.75,183.333,290.683,121.967,131.867,211.9,59,129.217,0,299.6,130.933,89.083,96.233,155.383,207.783,140.067,188.417,236.817,251.433,185.483,171.8,221.45,118.65,210.15,116.283,59,202.85,176.75,153.333,139.933,218.1,211.217,132.7,85.033,219.267,149.9,248.483,90.35,223.85,69.233,272.933,199.917,164.667,273.633,157.967,161.05,116.1,196.917,112.717,345.2,171.617,105.8,157.983,128.067,140.183,152.817
"Iron",214.267,46.983,164.8,80.4,226.417,272.517,267.783,257.4,70.867,170.15,220.533,357.483,244.117,261.167,264.5,218.55,256.533,200.717,125.917,246.067,257.433,195.617,307.417,238.45,303.4,0,274.433,280.967,277.733,336.867,257.533,299.05,185.333,146.667,132.183,259.283,146.75,228.183,238.6,197.833,297.8,307.417,235.617,219.067,228.233,295.55,263.667,254.433,270.85,223.3,152.067,331.383,129.867,289.917,158.117,237.9,99.667,189.233,276.483,208.817,238.767,269.85,308.283,136.933,311.767,62.917,209.117,297.7,192.2,201.367,227.35,194.617
"Jackson",146.017,319.717,258.483,353.133,101.117,217.75,47,57.75,281.083,193.717,186.6,201.617,96.617,221.3,137.867,118.467,89.25,223.55,211.883,41.833,40.667,252.117,131.95,77.233,132,274.183,0,62.45,47.2,73.833,111.283,198.117,213.283,181.35,203.333,74.6,146.4,142.633,84.617,131.35,34.767,131.95,124.033,97.95,74.517,29.867,258.467,120.45,7.567,99.383,175.2,68.35,238.4,94.633,258.45,118.85,307.517,121.1,54.717,308.217,198.183,202.85,45.233,171.5,78.333,335.65,211.833,41.383,89.867,102.55,61.383,156.633
"Jefferson",112.25,328.117,224.917,361.533,138.8,178.55,47.183,96.983,289.483,202.117,162.467,162.7,54.4,182.1,180.183,80.233,50.333,184.35,249.583,80.85,90.75,212.917,95.35,96.183,93.083,282.583,61.55,0,36.45,86,151.95,158.933,189.45,219.05,241.033,115.267,154.8,180.333,89.217,169.033,46.9,95.35,161.733,135.65,112.217,70.55,219.283,161.117,64.5,68.017,202.25,80.517,246.783,55.9,224.883,79.667,273.95,158.8,95.383,274.65,158.983,163.667,48.717,179.9,60.15,344.05,172.633,36.417,127.55,111.05,99.083,156.9
"Juneau",110.433,322.85,224.067,356.267,104.25,177.7,12.633,62.433,284.217,196.85,161.617,166.683,56.183,181.25,145.617,78.417,54.333,183.5,215.017,46.3,56.2,212.067,105.217,61.617,97.083,277.333,46.567,37.85,0,107.3,132.117,158.083,188.583,184.5,206.467,109.817,149.533,145.783,57.367,134.483,68.2,105.217,127.183,101.083,77.667,72.3,218.417,135.55,42.983,59.333,178.35,101.817,241.533,73.733,224.017,78.8,273.083,124.25,89,273.8,158.133,162.8,68.017,174.65,87.067,338.783,171.783,57.717,93,91.867,64.517,158.567
"Kenosha",174.15,379.617,286.817,413.033,143.2,240.45,106.917,117.667,341,253.617,224.367,222.233,116.3,244,177.15,142.133,109.867,246.267,256.35,101.75,104.25,274.833,130.8,137.15,152.617,334.1,70.033,83.067,102.35,0,150.567,220.833,251.35,234.767,254.05,113.883,206.3,187.117,144.517,184.15,45.417,130.8,168.517,147.017,134.433,69.15,281.183,159.733,71.617,129.917,235.117,19.85,298.3,93.483,286.783,141.567,335.85,173.917,94,336.567,220.883,225.567,57.267,231.417,70.667,395.567,234.55,62,149.767,162.45,121.3,216.55
