"","Adams","Alamosa","Arapahoe","Archuleta","Baca","Bent","Boulder","Broomfield","Chaffee","Cheyenne","Clear Creek","Conejos","Costilla","Crowley","Custer","Delta","Denver","Dolores","Douglas","Eagle","El Paso","Elbert","Fremont","Garfield","Gilpin","Grand","Gunnison","Hinsdale","Huerfano","Jackson","Jefferson","Kiowa","Kit Carson","La Plata","Lake","Larimer","Las Animas","Lincoln","Logan","Mesa","Mineral","Moffat","Montezuma","Montrose","Morgan","Otero","Ouray","Park","Phillips","Pitkin","Prowers","Pueblo","Rio Blanco","Rio Grande","Routt","Saguache","San Juan","San Miguel","Sedgwick","Summit","Teller","Washington","Weld","Yuma"
"Phillips",247.565,651.665,223.627,716.859,401.77,362.757,302.33,283.953,500.512,207.787,311.067,696.638,636.309,380.033,511.742,715.702,277.532,885.591,307.265,474.863,387.811,338.948,460.961,517.566,377.818,425.818,594.102,681.94,447.326,471.123,382.706,322.697,248.143,842.975,433.257,244.291,362.757,404.208,110.602,651.332,682.736,562.485,391.019,750.822,683.943,388.054,808.901,408.806,0,600.171,331.426,457.045,598.215,863.271,522.356,563.9,845.644,853.861,76.785,399.974,458.284,131.118,232.465,93.726
"Pitkin",358.077,213.924,509.111,282.75,534.492,393.428,347.328,347.208,110.18,495.032,314.567,258.656,289.217,331.342,185.194,181.335,329.616,345.322,343.535,287.077,282.076,332.832,200.727,82.605,409.184,336.229,43.561,131.399,292.465,407.811,217.478,348.919,453.674,350.711,194.506,426.515,393.428,233.242,676.189,283.087,212.229,165.742,269.956,147.102,225.447,364.406,205.438,192.374,600.457,0,440,263.371,363.126,259.808,392.435,129.791,242.181,250.398,593.212,227.473,255.688,507.946,410.192,551.013
"Prowers",339.806,312.515,140.026,456.032,96.51,46.581,361.526,343.149,332.211,125.947,367.418,357.488,297.159,118.821,271.466,571.994,330.743,624.764,299.444,531.214,245.837,273.886,239.647,357.684,61.642,482.169,434.22,499.687,173.626,556.82,385.236,257.635,87.438,582.148,431.463,417.743,46.581,460.559,444.451,707.683,421.909,370.821,447.37,537.761,344.793,78.196,596.097,360.132,333.849,440.289,0,182.611,654.566,646.008,578.707,402.73,628.713,641.057,365.828,395.231,316.148,275.451,391.921,258.426
"Pueblo",215.464,195.799,263.718,339.316,268.707,133.265,225.963,207.586,155.387,249.639,223.591,240.772,180.443,71.179,89.659,395.17,179.375,508.048,154.032,378.585,69.445,123.347,62.823,180.86,149.021,329.54,257.396,345.234,29.698,404.191,208.412,139.434,211.13,465.432,254.639,283.833,133.265,224.176,532.156,555.054,305.193,254.105,294.741,360.937,228.077,104.243,419.273,183.308,456.424,263.465,179.837,0,501.937,473.643,426.078,225.745,456.016,464.233,449.179,218.407,139.756,318.597,267.579,358.109
"Rio Blanco",355.862,433.44,622.755,484.765,734.198,631.621,345.618,344.993,310.891,608.676,285.371,478.413,496.339,569.535,386.746,182.125,327.401,415.208,358.413,125.42,432.33,407.277,385.935,327.945,647.377,275.914,320.573,335.7,530.658,278.915,291.671,399.344,567.318,420.597,216.076,424.3,631.621,234.704,673.974,117.755,416.53,372.864,240.76,217.245,465.718,602.599,275.324,265.475,598.242,363.888,653.383,501.564,0,329.694,183.874,374.279,312.067,320.284,590.997,230.47,373.085,505.731,407.977,548.798
"Rio Grande",620.294,334.08,719.306,190.16,702.89,599.719,610.05,609.425,320.375,705.227,549.803,346.92,400.283,541.537,395.389,147.725,591.833,168.608,622.845,389.852,492.271,543.027,410.922,292.8,615.475,540.346,216.51,64.942,502.66,590.637,427.673,559.114,663.869,125.992,404.701,688.732,599.719,499.136,938.406,249.477,137.807,358.322,505.192,112.742,345.603,570.697,54.438,402.569,862.674,259.825,646.291,473.566,329.516,0,509.242,328.816,17.461,56.34,855.429,437.668,465.883,770.163,672.409,813.23
"Routt",279.816,414.919,546.709,508.717,658.152,555.575,269.572,268.947,292.37,532.63,209.325,459.892,477.818,493.489,368.225,361.541,251.355,594.624,282.367,132.668,356.284,331.231,319.737,309.424,571.331,111.727,385.96,473.798,454.612,95.041,225.473,323.298,491.272,600.013,197.555,252.985,555.575,168.506,559.637,297.171,474.594,354.343,164.699,396.661,447.197,526.553,454.74,199.277,522.196,392.029,577.337,425.518,183.564,509.11,0,355.758,491.483,499.7,514.951,164.272,306.887,429.685,331.931,472.752
"Saguache",321.989,84.133,471.501,152.959,452.943,349.772,311.24,311.12,72.57,457.422,278.479,128.865,150.336,293.732,147.584,250.361,293.528,321.691,307.447,250.989,236.503,295.222,163.117,84.795,365.528,300.141,112.587,196.614,254.855,371.723,181.39,311.309,416.064,279.075,158.418,390.427,349.772,197.154,640.101,352.113,118.836,35.67,233.868,216.128,95.656,320.75,274.464,156.286,564.369,129.826,396.344,225.761,374.341,342.935,356.347,0,325.64,319.424,557.124,191.385,219.6,471.858,374.104,514.925
"San Juan",602.599,316.618,701.611,172.698,685.428,582.257,592.355,591.73,302.68,687.532,532.108,329.458,382.821,523.842,377.694,130.03,574.138,151.146,605.15,372.157,474.576,525.332,393.227,275.105,598.013,522.651,198.815,63.637,484.965,572.942,409.978,541.419,646.174,108.53,387.006,671.037,582.257,481.441,920.711,231.782,136.502,340.86,487.497,95.047,328.141,553.235,36.743,384.874,844.979,242.13,628.829,455.871,311.821,17.403,491.547,311.121,0,38.645,837.734,419.973,448.188,752.468,654.714,795.535
"San Miguel",610.829,403.484,709.841,270.136,735.222,594.158,600.585,599.96,310.91,695.762,540.338,426.896,469.687,532.072,385.924,138.26,582.368,101.383,613.38,380.387,482.806,533.562,401.457,283.335,609.914,530.881,207.045,222.172,493.195,581.172,418.208,549.649,654.404,170.781,395.236,679.267,594.158,489.671,928.941,240.012,213.313,354.358,495.727,103.277,415.007,565.136,77.504,393.104,853.209,250.36,640.73,464.101,320.051,56.169,499.777,319.351,38.542,0,845.964,428.203,456.418,760.698,662.944,803.765
"Sedgwick",240.04,644.14,300.437,709.334,445.478,395.994,294.805,276.428,492.987,284.597,303.542,689.113,628.784,372.508,504.217,708.177,270.007,878.066,299.74,467.338,380.286,331.423,453.436,510.041,411.055,418.293,586.577,674.415,439.801,414.725,375.181,315.172,278.389,835.45,425.732,236.835,395.994,396.683,91.82,643.807,675.211,554.96,383.494,743.297,676.418,400.643,801.376,401.281,76.81,592.646,364.663,449.52,590.69,855.746,514.831,556.375,838.119,846.336,0,392.449,450.759,123.593,224.94,108.226
"Summit",157.204,250.376,424.097,344.174,535.54,348.252,146.96,146.335,127.827,410.018,86.713,295.349,313.275,286.166,205.794,347.975,128.743,512.906,159.755,107.136,169.089,208.619,155.551,144.881,364.008,108.375,221.417,309.255,247.289,179.957,61.287,200.686,368.66,470.29,65.53,225.642,348.252,6.193,475.316,283.605,310.051,189.8,31.851,324.958,282.654,319.23,383.294,35.091,399.584,227.486,454.725,218.195,230.488,437.664,164.581,191.215,420.037,428.254,392.339,0,142.701,307.073,209.319,350.14
"Teller",212.192,278.726,312.338,372.524,405.003,269.561,222.691,204.314,156.177,298.259,190.5,323.699,318.768,207.475,129.667,387.541,176.103,541.256,150.76,249.452,72.092,136.059,79.424,173.231,285.317,250.691,249.767,337.605,168.598,322.273,132.748,152.146,256.901,498.64,178.975,280.561,269.561,148.512,528.884,425.921,338.401,218.15,174.167,353.308,311.004,240.539,411.644,107.644,453.152,255.836,316.133,139.504,372.804,466.014,306.897,219.565,448.387,456.604,445.907,142.743,0,360.641,264.307,370.821
"Washington",155.617,505.355,249.015,624.911,355.101,305.617,210.382,192.005,408.564,233.175,219.119,550.328,489.999,268.572,383.218,623.754,185.584,793.643,215.317,382.915,255.556,227.487,332.437,425.618,320.678,333.87,502.154,589.992,335.865,347.818,290.758,211.236,188.012,751.027,341.309,190.772,305.617,312.26,206.538,559.384,590.788,470.537,299.071,658.874,537.633,296.707,716.953,316.858,130.806,508.223,274.286,323.949,506.267,771.323,430.408,471.952,753.696,761.913,123.561,308.026,366.336,0,140.517,43.066
"Weld",54.129,462.307,358.655,526.349,470.098,391.307,97.085,80.597,310.002,344.576,120.557,507.28,446.951,334.15,322.384,525.192,87.022,695.081,123.784,284.353,198.453,166.349,271.603,327.056,407.063,235.308,403.592,491.43,296.781,206.146,192.196,158.416,303.218,652.465,242.747,49.1,391.307,213.698,308.856,460.822,492.226,371.975,200.509,560.312,494.585,362.285,618.391,218.296,233.124,409.661,389.283,267.687,407.705,672.761,331.846,373.39,655.134,663.351,225.879,209.464,268.926,140.613,0,183.68
"Yuma",198.684,544.448,208.505,667.978,338.092,288.608,253.449,235.072,451.631,192.665,262.186,589.421,529.092,307.665,422.834,666.821,228.651,836.71,258.384,425.982,295.172,264.704,372.053,468.685,303.669,376.937,545.221,633.059,374.958,390.885,333.825,248.453,171.003,794.094,384.376,233.839,288.608,355.327,191.22,602.451,633.855,513.604,342.138,701.941,576.726,313.905,760.02,359.925,93.726,551.29,257.277,363.565,549.334,814.39,473.475,515.019,796.763,804.98,108.226,351.093,367.144,43.066,183.584,0
