"","Beaverhead","Big Horn","Blaine","Broadwater","Carbon","Carter","Cascade","Chouteau","Custer","Daniels","Dawson","Deer Lodge","Fallon","Fergus","Flathead","Gallatin","Garfield","Glacier","Golden Valley","Granite","Hill","Jefferson","Judith Basin","Lake","Lewis and Clark","Liberty","Lincoln","Madison","McCone","Meagher","Mineral","Missoula","Musselshell","Park","Petroleum","Phillips","Pondera","Powder River","Powell","Prairie","Ravalli","Richland","Roosevelt","Rosebud","Sanders","Sheridan","Silver Bow","Stillwater","Sweet Grass","Teton","Toole","Treasure","Valley","Wheatland","Wibaux","Yellowstone"
"Golden Valley",423.439,174.685,347.976,259.388,188.523,280.927,291.71,337.324,185.249,522.967,419.49,335.538,374.461,185.035,564.918,253.334,257.758,424.504,0,407.901,395.897,305.107,154.95,547.465,439.92,348.06,345.027,324.256,364.263,140.417,528.578,436.461,101.254,175.284,135.546,278.239,349.636,368.068,335.538,360.211,493.289,537.781,450.363,246.551,226.057,370.37,362.864,616.186,444.305,337.324,389.458,221.602,428.711,271.975,465.264,99.742
"Granite",197.596,528.77,514.428,148.557,459.237,340.424,255.652,252.122,539.334,890.236,805.774,101.627,760.745,513.443,321.207,245.549,672.407,386.952,406.817,0,455.109,141.947,393.614,238.961,131.416,420.466,121.136,210.925,778.912,275.665,220.074,127.957,508.071,266.697,551.496,641.858,302.949,722.153,101.627,746.495,184.785,842.925,812.432,632.835,580.142,179.966,85.975,343.162,406.753,252.122,351.906,575.687,733.855,175.092,851.548,452.946
"Hill",569.632,570.627,177.357,346.651,558.419,155.558,240.323,195.659,581.191,553.165,637.16,422.801,640.268,313.284,343.624,515.393,504.077,126.313,395.942,454.968,0,443.449,240.961,403.368,462.513,48.054,335.224,530.892,561.021,325.412,551.171,459.054,455.587,441.238,383.166,322.378,145.153,764.01,422.801,624.448,451.53,505.854,475.361,600.884,621.999,505.488,458.011,339.421,110.367,195.659,107.231,617.544,396.784,441.659,682.385,495.684
"Jefferson",120.896,391.085,462.036,110.428,321.552,288.032,203.26,264.413,401.649,896.939,668.089,111.138,623.06,397.59,403.443,107.864,556.554,410.996,305.06,142.31,443.231,0,304.829,351.638,244.093,395.394,196.067,94.616,663.059,152.005,332.751,240.634,406.314,129.012,435.643,526.005,336.128,584.468,111.138,608.81,297.462,785.547,824.335,495.15,442.457,67.827,62.285,425.398,430.797,264.413,375.95,438.002,676.477,37.407,713.863,315.261
"Judith Basin",467.589,329.666,259.752,244.608,317.458,125.977,138.28,183.894,340.23,545.522,465.42,320.758,489.293,121.349,466.959,315.779,280.313,271.074,154.981,393.121,240.947,304.75,0,476.667,369.122,193.11,241.833,365.939,386.818,152.824,457.78,365.663,231.823,237.729,159.402,249.764,196.206,523.049,320.758,443.233,422.491,509.306,472.918,377.12,381.038,370.013,355.968,462.756,290.875,183.894,236.028,376.583,400.236,268.786,510.645,254.723
"Lake",408.026,739.2,517.125,289.373,669.667,418.514,358.182,338.385,749.764,892.933,1016.204,242.443,971.175,598.334,82.525,455.979,757.298,279.56,547.633,239.832,403.313,352.377,478.505,0,116.722,385.825,237.346,421.355,863.803,416.481,154.165,113.052,648.887,477.127,636.387,662.146,332.118,932.583,242.443,956.925,54.561,845.622,815.129,843.265,790.572,390.396,296.405,104.48,354.976,338.385,317.265,786.117,736.552,385.522,1061.978,663.376
"Lewis and Clark",299.772,630.946,484.264,181.119,561.413,310.26,249.928,260.078,641.51,860.072,907.95,134.189,862.921,490.08,198.282,347.725,649.044,394.908,439.379,131.578,463.065,244.123,370.251,116.036,0,428.422,129.092,313.101,755.549,308.227,97.149,3.901,540.633,368.873,528.133,618.495,310.905,824.329,134.189,848.671,61.86,812.761,782.268,735.011,682.318,282.142,188.151,220.237,414.709,260.078,359.862,677.863,703.691,277.268,953.724,555.122
"Liberty",521.795,522.79,131.518,298.814,510.582,107.721,192.486,161.335,533.354,507.326,591.321,374.964,594.429,265.447,326.15,467.556,456.24,106.621,348.105,420.644,48.055,395.612,193.124,385.894,428.189,0,300.9,483.055,515.182,277.575,516.847,424.73,407.75,393.401,335.329,276.539,110.829,716.173,374.964,578.609,481.558,460.015,429.522,553.047,574.162,457.651,410.174,321.947,125.792,161.335,68.573,569.707,350.945,393.822,636.546,447.847
"Lincoln",275.952,551.236,356.618,87.137,481.703,182.614,122.282,132.432,561.8,732.426,706.505,110.369,783.211,362.434,235.337,268.015,521.398,267.262,345.159,121.19,335.419,196.071,242.605,236.28,128.735,300.776,0,289.281,627.903,214.007,217.393,125.276,446.413,289.163,400.487,490.849,183.259,744.619,110.369,768.961,182.104,685.115,654.622,655.301,602.608,258.322,164.331,257.292,287.063,132.432,232.216,598.153,576.045,194.281,751.73,475.412
"Madison",114.356,409.693,549.487,197.879,340.16,375.483,290.711,351.864,420.257,915.547,686.697,180.146,641.668,416.198,472.451,119.392,575.162,498.447,323.668,211.318,530.682,94.624,365.959,420.646,313.101,482.845,289.352,0,681.667,213.135,401.759,309.642,424.922,147.62,454.251,544.613,423.579,603.076,180.146,627.418,366.47,804.155,842.943,513.758,461.065,30.959,131.293,494.406,518.248,351.864,463.401,456.61,695.085,98.537,732.471,333.869
