"","Alachua","Baker","Bay","Bradford","Brevard","Broward","Calhoun","Charlotte","Citrus","Clay","Collier","Columbia","DeSoto","Dixie","Duval","Escambia","Flagler","Franklin","Gadsden","Gilchrist","Glades","Gulf","Hamilton","Hardee","Hendry","Hernando","Highlands","Hillsborough","Holmes","Indian River","Jackson","Jefferson","Lafayette","Lake","Lee","Leon","Levy","Liberty","Madison","Manatee","Marion","Martin","Miami-Dade","Monroe","Nassau","Okaloosa","Okeechobee","Orange","Osceola","Palm Beach","Pasco","Pinellas","Polk","Putnam","Santa Rosa","Sarasota","Seminole","St. Johns","St. Lucie","Sumter","Suwannee","Taylor","Union","Volusia","Wakulla","Walton","Washington"
"Santa Rosa",496.16,44.627,733.925,716.853,759.235,1018.118,228.697,865.559,633.611,574.622,977.063,461.559,853.201,667.739,562.42,23.89,1058.742,288.521,252.256,709.865,911.366,250.981,418.275,815.678,898.13,610.017,997.95,693.35,143.595,848.167,674.687,544.017,295.837,657.303,385.179,755.589,548.688,97.55,370.823,787.766,428.443,730.951,1053.529,737.405,598.285,53.319,849.512,258.465,718.249,951.303,677.689,757.383,774.265,573.127,0,807.867,760.827,583.713,861.833,632.038,500.756,508.39,115.197,633.138,307.801,890.011,157.511
"Sarasota",317.774,777.173,229.966,102.313,276.321,344.443,610.554,76.075,208.355,366.092,187.579,360.026,79.203,147.358,452.773,831.017,368.533,559.506,560.309,198.953,181.057,693.495,408.038,103.15,161.239,216.49,363.315,135.546,672.736,270.185,263.446,436.427,525.189,232.638,432.816,62.875,293.867,731.595,444.231,20.175,402.661,99.723,369.483,112.729,493.241,761.083,182.995,626.331,103.616,285.705,133.304,93.437,149.589,333.012,808.629,0,81.665,409.255,247.721,180.5,334.179,409.774,711.32,297.463,454.433,250.987,661.529
"Seminole",270.368,729.767,191.722,48.023,238.077,421.087,563.148,152.719,150.294,318.686,264.223,312.62,140.361,99.952,414.529,783.611,445.177,505.216,512.903,160.709,251.009,535.873,360.632,132.537,237.883,165.06,439.959,93.432,625.33,263.908,225.202,356.812,477.783,185.232,385.41,75.225,246.461,684.189,396.825,62.723,355.255,68.031,446.127,74.485,411.08,713.677,244.153,578.925,45.01,409.1,85.898,14.235,111.345,285.606,761.223,80.501,0,371.011,277.574,133.094,279.889,362.368,663.914,240.981,400.143,347.808,614.123
"St. Johns",114.817,551.219,250.617,294.312,188.344,497.123,384.6,466.987,211.07,19.654,578.491,173.783,378.83,245.198,56.736,605.063,531.765,428.042,334.355,230.709,444.081,467.541,182.165,339.856,424.195,187.476,476.955,309.335,446.782,315.608,155.713,40.533,299.235,180.895,206.862,357.017,146.001,505.641,218.277,389.194,176.788,314.482,526.552,303.327,97.204,535.129,381.974,400.377,335.304,430.308,255.148,367.142,302.354,58.54,582.675,409.295,370.586,0,329.121,209.497,259.342,113.007,485.366,131.212,324.461,352.282,435.575
"St. Lucie",371.401,830.8,136.472,257.97,150.339,175.399,664.181,213.825,280.646,333.45,331.779,413.653,169.683,297.318,372.679,884.644,216.023,662.565,613.936,156.565,128.339,747.122,461.665,171.979,171.361,288.781,155.231,263.068,726.363,17.515,231.996,356.333,578.816,236.93,486.443,231.104,347.494,785.222,497.858,241.461,456.288,222.453,210.81,211.298,413.147,814.71,66.232,679.958,243.275,108.584,265.525,275.113,166.857,301.16,862.256,248.51,278.557,329.161,0,258.55,426.17,428.807,764.947,265.007,557.492,23.974,715.156
"Sumter",144.679,604.078,129.902,88.872,168.477,414.095,437.459,237.578,35.319,192.997,349.082,186.931,225.22,39.758,249.526,657.922,454.719,435.843,387.214,105.842,307.343,520.4,234.943,138.992,322.742,43.454,393.927,61.958,499.641,244.144,142.189,231.123,352.094,51.197,259.721,127.608,120.772,558.5,271.136,159.785,229.566,102.97,449.506,73.065,285.391,587.988,245.489,453.236,90.268,347.28,49.708,129.402,97.579,159.917,635.534,179.886,132.846,212.475,257.81,0,199.448,236.679,538.225,98.557,330.77,285.988,488.434
"Suwannee",96.066,469.316,297.825,238.372,336.4,582.018,278.31,405.97,148.682,188.91,517.474,106.43,393.612,231.639,238.309,523.16,622.642,298.136,252.452,273.765,475.266,328.793,144.873,379.578,491.134,141.007,561.85,257.25,364.879,412.067,241.749,219.906,201.869,221.203,149.518,319.489,79.884,423.738,158.873,315.974,136.722,294.851,617.429,301.305,274.174,453.226,413.412,288.477,249.1,515.203,241.589,270.388,338.165,178.479,500.772,333.752,279.474,259.602,425.733,195.938,0,165.604,403.463,200.2,193.063,453.911,353.672
"Taylor",97.163,476.503,351.89,318.145,289.617,598.396,309.884,466.851,234.903,105.004,578.355,62.832,454.493,269.031,92.802,530.347,633.038,353.326,259.639,331.982,545.354,392.825,107.449,416.97,499.422,211.309,578.228,294.642,372.066,416.881,256.986,74.399,224.519,258.595,132.146,356.881,149.98,430.925,143.561,389.058,102.072,332.243,627.825,338.697,128.667,460.413,483.247,325.661,319.541,531.581,278.981,358.675,375.557,131.323,507.959,409.159,362.119,114.095,430.394,233.33,165.712,0,410.65,232.485,249.745,453.555,360.859
"Union",398.921,83.344,636.686,619.614,661.996,920.879,131.458,768.32,536.372,477.383,879.824,364.32,755.962,570.5,465.181,137.188,961.503,201.254,155.017,612.626,814.127,163.714,321.036,718.439,800.891,512.778,900.711,596.111,46.356,750.928,577.448,446.778,198.598,560.064,287.94,658.35,451.449,21.277,273.584,690.527,331.204,633.712,956.29,640.166,501.046,67.254,752.273,161.226,621.01,854.064,580.45,660.144,677.026,475.888,114.8,710.628,663.588,486.474,764.594,534.799,403.517,411.151,0,535.899,210.562,792.772,60.272
"Volusia",141.911,601.31,147.125,196.879,124.235,433.014,434.691,354.37,113.205,116.321,465.874,184.163,266.213,147.765,175.056,655.154,467.656,433.075,384.446,127.217,328.718,517.632,232.175,227.239,311.578,109.145,412.846,149.117,496.873,251.499,42.299,158.71,349.326,50.433,256.953,244.4,122.969,555.732,268.368,276.577,226.798,201.865,462.443,190.71,215.524,585.22,266.864,450.468,198.275,366.199,157.715,237.409,189.737,77.239,632.766,296.678,240.853,131.538,265.012,98.257,201.645,231.184,535.457,0,328.002,288.173,485.666
"Wakulla",190.818,277.133,428.722,358.649,500.027,712.915,85.863,560.356,268.959,315.414,671.86,202.351,547.998,362.536,303.212,330.977,753.539,113.361,59.385,404.662,606.163,144.018,159.067,510.475,592.927,261.284,692.747,388.147,172.696,542.964,369.484,284.809,26.152,352.1,125.971,450.386,200.161,231.555,111.615,436.251,169.235,425.748,748.326,432.202,339.077,261.043,544.309,96.03,413.046,646.1,372.486,390.665,469.062,283.419,308.589,454.029,399.751,324.505,556.63,326.835,193.079,249.182,211.28,327.935,0,584.808,161.489
"Walton",398.785,858.184,159.12,287.113,172.987,146.659,691.565,216.668,308.03,356.098,314.076,441.037,172.526,324.702,395.327,912.028,198.32,689.949,641.32,183.949,131.182,774.506,489.049,186.148,174.204,316.165,126.491,290.452,753.747,41.116,254.644,378.981,606.2,264.314,513.827,260.247,374.878,812.606,525.242,250.451,483.672,251.596,193.107,240.441,435.795,842.094,69.075,707.342,272.418,79.844,294.668,304.256,196,323.808,889.64,251.353,307.7,351.809,23.704,285.934,453.554,451.455,792.331,287.655,584.876,0,742.54
"Washington",349.139,125.665,586.904,569.832,612.214,871.097,81.676,718.538,486.59,427.601,830.042,314.538,706.18,520.718,415.399,179.509,911.721,192.594,105.235,562.844,764.345,155.054,271.254,668.657,751.109,462.996,850.929,546.329,14.663,701.146,527.666,396.996,148.816,510.282,238.158,608.568,401.667,80.087,223.802,640.745,281.422,583.93,906.508,590.384,451.264,109.575,702.491,111.444,571.228,804.282,530.668,610.362,627.244,426.106,157.121,660.846,613.806,436.692,714.812,485.017,353.735,361.369,59.812,486.117,160.78,742.99,0
