"","Autauga","Baldwin","Barbour","Bibb","Blount","Bullock","Butler","Calhoun","Chambers","Cherokee","Chilton","Choctaw","Clarke","Clay","Cleburne","Coffee","Colbert","Conecuh","Coosa","Covington","Crenshaw","Cullman","Dale","Dallas","DeKalb","Elmore","Escambia","Etowah","Fayette","Franklin","Geneva","Greene","Hale","Henry","Houston","Jackson","Jefferson","Lamar","Lauderdale","Lawrence","Lee","Limestone","Lowndes","Macon","Madison","Marengo","Marion","Marshall","Mobile","Monroe","Montgomery","Morgan","Perry","Pickens","Pike","Randolph","Russell","Shelby","St. Clair","Sumter","Talladega","Tallapoosa","Tuscaloosa","Walker","Washington","Wilcox","Winston"
"Chilton",184.899,322.776,282.324,164.842,302.972,206.936,81.791,158.45,196.606,447.06,0,81.791,268.695,280.804,357.808,237.564,309.553,115.292,354.478,162.205,184.039,321.072,271.521,286.111,396.616,213.412,126.65,342.168,251.912,246.456,236.368,132.636,118.251,295.028,346.893,43.708,80.338,392.858,428.416,400.598,217.9,397.171,151.506,330.054,388.532,38.947,124.938,366.032,150.059,73.991,193.529,223.526,124.938,193.094,218.375,181.954,116.863,222.502,313.378,216.337,328.166,290.962,180.077,305.736,190.511,128.658,306.483
"Choctaw",199.667,322.829,308.06,170.356,303.025,236.951,0,184.186,203.341,373.996,82.023,0,250.916,280.857,357.861,267.579,335.289,183.093,354.531,224.59,209.775,321.125,297.257,286.164,396.669,219.944,194.451,342.221,225.229,272.192,298.753,112.242,108.138,320.764,290.756,99.794,69.57,392.911,362.479,400.651,247.915,397.224,177.242,330.107,388.585,42.843,134.498,366.085,179.633,141.792,219.265,223.579,134.498,147.355,244.111,191.514,128.389,290.433,313.431,215.028,328.219,316.698,162.298,249.599,216.247,191.881,288.704
"Clarke",220.966,97.7,357.009,174.653,140.796,350.415,249.474,283.847,141.649,138.951,276.403,249.474,0,130.033,209.788,368.864,355.119,359.072,203.707,380.264,323.239,102.303,372.956,123.935,245.845,231.228,412.814,191.397,42.389,292.022,414.564,144.267,150.284,396.463,62.623,305.889,201.564,244.838,120.315,249.827,359.965,178.402,275.132,182.034,169.763,241.577,211.308,215.261,505.907,403.544,239.095,123.84,211.308,106.415,318.181,185.049,400.09,162.289,162.607,101.215,180.146,230.746,89.736,32.024,238.085,359.027,46.54
"Clay",158.995,77.438,295.038,120.868,35.793,288.444,280.713,221.876,87.864,201.722,280.577,280.713,130.478,0,122.813,306.893,293.148,297.101,89.022,318.293,261.268,75.734,310.985,22.676,131.16,169.257,350.843,76.712,161.842,230.051,352.593,175.506,180.564,334.492,118.294,310.063,232.803,157.863,183.078,135.142,297.994,151.833,213.161,95.059,143.194,256.489,157.523,100.576,443.936,341.573,177.124,62.047,157.523,182.275,256.21,123.078,431.329,84.634,47.922,77.992,93.171,163.775,128.625,101.125,176.114,297.056,140.783
"Cleburne",232.756,198.223,240.091,198.486,117.376,362.205,358.331,295.637,165.482,322.507,358.195,358.331,210.536,122.24,0,299.471,194.006,370.862,68.64,392.054,335.029,196.519,298.833,139.485,113.622,167.562,424.604,73.649,241.9,157.811,345.171,253.124,258.182,279.474,222.34,387.681,310.421,49.673,303.863,82.941,290.572,272.618,286.922,68.377,263.979,334.107,235.141,107.495,517.697,415.334,250.885,135.808,235.141,259.893,248.788,196.839,508.947,123.452,90.255,158.05,53.528,109.698,206.243,181.183,249.875,370.817,220.841
"Coffee",158.91,359.227,77.195,250.116,341.019,33.763,268.931,121.276,306.954,483.511,237.384,268.931,371.54,308.642,299.969,0,135.706,114.676,382.316,65.583,58.089,357.523,35.745,325.887,424.454,157.635,140.739,370.006,402.904,155.583,50.572,298.371,264.074,89.899,383.344,243.379,251.263,285.114,464.867,428.436,22.79,433.622,127.242,292.212,424.983,226.087,233.005,393.87,275.056,172.693,133.792,277.28,233.005,401.365,51.473,239.032,284.966,226.924,341.216,306.894,254.416,200.089,347.715,342.187,130.934,114.201,381.845
"Colbert",141.659,341.976,60.8,232.865,323.768,147.422,334.003,165.674,289.703,466.26,308.306,334.003,354.289,291.391,195.003,135.691,0,240.899,248.667,201.964,142.815,340.272,119.542,308.636,311.493,140.384,294.641,253.676,385.653,70.494,181.391,312.218,277.921,97.584,366.093,356.057,290.878,163.05,447.616,283.011,147.955,416.371,156.959,234.787,407.732,291.159,246.852,287.522,387.734,285.371,116.541,260.029,246.852,384.114,108.145,221.781,397.644,209.673,256.679,289.643,196.991,100.684,330.464,324.936,120.092,240.854,364.594
"Conecuh",147.095,347.412,195.067,207.241,329.204,97.325,183.018,87.884,295.139,471.696,115.232,183.018,359.725,296.827,370.538,114.711,241.961,0,370.501,49.967,96.782,345.708,147.845,314.072,412.639,145.82,41.948,358.191,391.089,178.864,124.13,225.074,191.737,207.771,371.529,121.227,172.439,330.631,453.052,416.621,108.289,421.807,105.339,342.784,413.168,140.174,177.767,382.055,152.904,41.848,125.937,265.465,177.767,285.532,131.118,227.217,162.814,215.109,329.401,295.079,261.002,223.37,335.9,330.372,122.919,15.479,370.03
"Coosa",233.156,103.714,294.514,195.029,68.305,362.605,354.874,296.037,162.025,225.078,354.738,354.874,204.639,88.792,71.104,381.054,248.429,371.262,0,392.454,335.429,96.117,385.146,98.946,71.373,243.418,425.004,13.556,236.003,212.234,426.754,249.667,254.725,333.897,144.57,384.224,306.964,104.096,206.434,56.575,372.155,159.62,287.322,47.544,150.981,330.65,231.684,47.402,518.097,415.734,251.285,136.208,231.684,256.436,330.371,197.239,505.49,158.795,49.475,152.153,83.973,164.121,202.786,175.286,250.275,371.217,155.316
"Covington",168.233,368.55,144.005,228.379,350.342,44.602,224.62,109.022,316.277,492.834,161.987,224.62,380.863,317.965,391.676,65.569,201.951,50.013,391.639,0,59.474,366.846,98.703,335.21,433.777,166.958,73.765,379.329,412.227,200.002,74.988,259.587,226.25,145.115,392.667,167.982,206.952,351.769,474.19,437.759,63.456,442.945,126.477,363.922,434.306,181.776,210.013,403.193,199.675,91.861,147.075,286.603,210.013,320.045,93.81,248.355,209.585,236.247,350.539,316.217,282.14,244.508,357.038,351.51,144.057,49.538,391.168
"Crenshaw",111.254,311.571,98.616,202.46,293.363,27.51,209.794,63.528,259.298,435.855,184.097,209.794,323.884,260.986,334.697,58.138,142.808,97.091,334.66,59.483,0,309.867,87.813,278.231,376.798,109.979,150.833,322.35,355.248,143.023,102.271,240.623,206.326,111.32,335.688,212.249,192.126,294.79,417.211,380.78,38.474,385.966,69.494,306.943,377.327,166.95,175.257,346.214,243.926,141.563,90.096,229.624,175.257,353.709,34.667,191.376,253.836,179.268,293.56,259.238,225.161,187.529,300.059,294.531,87.078,97.046,334.189
"Cullman",207.978,7.881,344.021,161.665,53.294,337.427,321.51,270.859,128.661,132.178,321.374,321.51,95.931,75.979,196.8,355.876,342.131,346.084,96.166,367.276,310.251,0,359.968,49.341,138.813,218.24,399.826,84.731,133.922,279.034,401.576,216.303,221.361,383.475,48.737,350.86,273.6,231.85,113.534,146.951,346.977,82.289,262.144,115.508,73.65,297.286,198.32,75.639,492.919,390.556,226.107,110.852,198.32,223.072,305.193,172.061,472.126,149.301,79.792,118.789,167.158,217.758,169.422,67.155,225.097,346.039,59.483
"Dale",162.927,363.244,60.94,254.133,345.036,68.441,292.976,133.511,310.971,487.528,267.279,292.976,375.557,312.659,299.658,34.42,119.451,146.14,386.333,97.047,87.87,361.54,0,329.904,428.471,161.652,172.203,374.023,406.921,143.081,65.813,307.526,273.229,49.475,387.361,264.109,275.308,267.705,468.884,432.453,58.081,437.639,136.397,296.229,429,250.132,242.16,397.887,330.546,187.988,137.809,281.297,242.16,405.382,55.49,243.049,319.644,230.941,345.233,310.911,258.433,189.407,351.732,346.204,134.951,145.665,385.862
"Dallas",176.073,65.636,312.116,126.094,31.252,305.522,285.939,238.954,93.09,189.92,285.803,285.939,125.445,22.676,139.891,323.971,310.226,314.179,98.867,335.371,278.346,49.348,328.063,0,141.005,186.335,367.921,86.557,156.809,247.129,369.671,180.732,185.79,351.57,106.492,315.289,238.029,174.941,171.276,144.987,315.072,140.031,230.239,112.137,131.392,261.715,162.749,75.62,461.014,358.651,194.202,79.125,162.749,187.501,273.288,140.156,436.555,101.712,57.75,83.218,110.249,180.853,133.851,96.092,193.192,314.134,117.238
