"","Adams","Barnes","Benson","Billings","Bottineau","Bowman","Burke","Burleigh","Cass","Cavalier","Dickey","Divide","Dunn","Eddy","Emmons","Foster","Golden Valley","Grand Forks","Grant","Griggs","Hettinger","Kidder","LaMoure","Logan","McHenry","McIntosh","McKenzie","McLean","Mercer","Morton","Mountrail","Nelson","Oliver","Pembina","Pierce","Ramsey","Ransom","Renville","Richland","Rolette","Sargent","Sheridan","Sioux","Slope","Stark","Steele","Stutsman","Towner","Traill","Walsh","Ward","Wells","Williams"
"Logan",171.95,228.217,113.483,161.45,90.9,248.817,72.3,116.15,240.933,206,195.533,225.783,158.467,139.65,151.267,111.7,120.217,215.55,277.767,154.8,229.6,126.75,210.183,0,139.433,204.967,120.8,74.483,62.033,139.85,62.45,201.717,117.183,236.417,167.617,121,269.467,53.017,91.367,99.617,254.867,199.433,174.783,225.317,178.933,126.75,160.533,53.317,221.35,205.533,88.233,72.967,165.833
"McHenry",87.517,112.4,66.367,101.567,159.483,292.367,207.533,146.483,124.683,130.733,102.717,111.4,232.617,25.3,160.65,33.9,190.383,106.117,162.733,29.517,273.167,111.217,110.817,138.517,0,154.25,129.883,136.2,107.783,149.233,182.433,87.35,252.433,161.15,42.15,74.767,155.783,188.25,226.6,128.967,140.5,95.033,294.767,268.867,222.5,111.217,70.617,131.983,96.083,119.75,223.467,87.633,60.767
"McIntosh",227.617,156.567,178.8,241.667,238.383,242.15,272.883,116.183,169.3,259.033,83.05,80.217,213.033,172.533,55,130.417,196.467,226.933,111.733,143.217,203.9,89.767,75.317,203.867,150.417,0,99.583,150.717,155.133,96.45,230.817,122.183,317.783,280.1,131.65,197.767,103.433,253.6,291.95,223.733,88.333,99.4,299.35,238.567,192.183,89.767,83.633,200.283,193.933,247.15,288.817,161.617,200.867
"McKenzie",208.45,137.4,138,214.783,167.267,169,182.95,23.133,150.133,239.867,104.717,134.967,119.967,147.467,45.3,97.667,103.417,207.767,186.95,124.05,149.8,24.267,119.383,121.283,131.25,99,0,57.65,66.633,20.767,137.767,110.917,227.85,260.933,112.483,157.217,178.667,163.55,202.017,159.6,164.067,108.617,206.3,145.5,99.133,24.267,64.467,117.7,174.767,227.983,198.883,97.483,181.7
"McLean",218.917,189.283,142.733,212.433,141.883,173.683,127.017,46.35,202.017,256.983,156.6,186.85,94.867,152.2,97.183,102.4,54.167,232.183,238.85,145.517,154.483,77.217,171.267,74.183,136.433,150.883,56.917,0,29.817,77.65,81.833,162.8,171.917,287.383,149.7,161.95,230.55,107.633,146.1,150.583,215.95,160.5,172.417,150.183,103.8,77.217,116.35,104.3,212.067,249.433,142.967,102.217,192.167
"Mercer",191,191,114.817,191.6,128.917,202.783,130.233,56.717,203.733,233.4,158.317,188.567,126.217,124.283,102.317,74.483,83.983,204.267,240.55,117.583,183.567,77.733,172.983,61.217,108.5,156.017,67.267,29.817,0,88,90,164.5,175.133,257.433,130.417,134.033,232.25,110.967,149.317,127.017,217.65,162.217,203.75,179.283,132.9,77.733,118.633,80.717,184.15,221.517,146.167,74.3,164.25
"Morton",228.567,157.517,158.1,234.9,187.367,189.117,203.067,37.867,170.25,259.967,124.833,155.083,140.083,167.583,43.467,117.783,123.533,227.883,208.917,144.167,169.917,44.383,139.5,141.383,151.367,97.167,20.65,77.767,86.75,0,157.883,131.033,247.967,281.033,132.6,177.333,200.617,183.667,222.133,179.717,185.517,128.733,226.417,165.617,119.25,44.383,84.583,137.817,194.883,248.1,219,117.6,201.817
"Mountrail",219.25,270.267,155.55,208.75,134.1,206.483,59.617,131.867,283,253.3,237.583,267.833,113.617,181.7,182.7,153.75,129.4,262.85,319.817,196.867,207.2,162.717,252.25,62.033,181.483,236.4,142.433,85.8,95.583,163.15,0,243.783,102.3,283.717,209.683,168.3,311.533,94.017,112.3,146.917,296.933,241.483,128.433,182.983,141.833,162.717,202.583,100.617,263.417,252.833,89.033,115.033,213.133
"Nelson",147.7,62.3,139.217,161.75,229.6,274.717,270.45,128.833,75.033,168.267,49.283,46.417,225.683,109.65,142.983,91.033,209.117,132.667,91.667,63.317,255.5,93.55,47.467,201.433,87.533,121.933,112.233,163.367,164.917,131.567,245.367,0,315.35,185.833,54.65,157.083,83.367,251.183,289.533,209.483,75.517,40.417,312,251.217,204.833,93.55,52.95,197.867,99.667,153.717,286.4,150.567,120.967
"Oliver",271.917,341.133,217.45,261.417,167.533,199.467,71.917,217.85,353.867,302.267,308.45,338.7,141.15,254.1,264.183,224.617,169.35,315.517,390.683,267.717,224.217,239.667,323.117,117.367,252.35,317.883,228.4,171.783,174.95,249.133,101.7,314.633,0,332.667,280.533,220.983,382.383,129.417,92.7,199.583,367.783,312.35,72.583,175.967,161.117,239.667,273.45,153.3,334.283,305.5,76.467,185.883,265.817
