"","Aurora","Beadle","Bennett","Bon Homme","Brookings","Brown","Brule","Buffalo","Butte","Campbell","Charles Mix","Clark","Clay","Codington","Corson","Custer","Davison","Day","Deuel","Dewey","Douglas","Edmunds","Fall River","Faulk","Grant","Gregory","Haakon","Hamlin","Hand","Hanson","Harding","Hughes","Hutchinson","Hyde","Jackson","Jerauld","Jones","Kingsbury","Lake","Lawrence","Lincoln","Lyman","Marshall","McCook","McPherson","Meade","Mellette","Miner","Minnehaha","Moody","Oglala Lakota","Pennington","Perkins","Potter","Roberts","Sanborn","Spink","Stanley","Sully","Todd","Tripp","Turner","Union","Walworth","Yankton","Ziebach"
"Douglas",254.769,143.28,296.683,74.782,256.212,248.983,184.23,640.186,190.198,218.137,35.22,242.883,159.918,273.732,190.759,519.65,73.516,247.624,307.76,621.7,0,281.267,541.638,243.881,135.272,116.223,338.968,311.457,177.958,78.944,685.75,263.288,62.866,214.583,52.218,98.629,123.76,185.06,275.445,34.202,25.176,158.179,340.788,121.316,308.345,497.067,214.217,135.348,154.306,236.624,369.818,457.608,75.434,310.641,417.444,103.961,180.519,254.705,109.271,201.144,39.979,123.469,280.039,367.155,118.094,422.309
"Edmunds",290.295,178.835,475.013,359.167,284.812,44.106,452.636,394.98,361.132,110.431,291.06,164.006,463.048,199.061,377.381,557.877,271.882,168.747,247.05,614.649,283.503,0,579.865,54.354,400.092,303.716,357.66,237.879,106.143,279.771,440.544,216.564,347.251,141.004,274.062,188.112,323.846,230.463,192.064,317.705,293.597,233.51,138.601,328.904,39.923,461.873,73.578,253.918,370.338,323.692,548.148,495.835,358.937,120.222,198.85,207.185,448.925,222.177,294.424,372.078,324.364,405.289,23.778,85.894,414.408,264.517
"Fall River",713.12,561.151,176.296,616.691,714.563,619.947,724.627,281.904,310.752,480.408,474.539,617.294,735.039,668.622,649.11,49.738,529.406,622.035,766.111,107.184,541.027,576.633,0,523.088,658.159,382.167,223.273,769.808,477.776,537.295,327.468,366.298,604.775,440.909,457.541,497.302,402.323,613.767,667.58,494.841,551.121,384.588,714.442,586.428,615.764,138.785,588.036,588.171,642.329,694.975,103.139,92.203,536.073,456.691,875.795,521.849,720.916,361.239,363.733,272.078,581.888,662.813,579.28,504.353,671.932,335.732
"Faulk",262.372,141.299,408.623,321.631,256.889,98.454,429.567,420.053,305.645,72.895,253.524,126.47,439.979,177.798,354.05,500.473,234.346,131.211,219.127,561.041,245.967,54.354,522.461,0,363.099,248.229,300.256,209.956,68.607,242.235,465.617,159.16,309.715,85.517,236.526,150.576,268.359,192.927,182.084,280.169,256.061,178.023,192.949,291.368,94.271,408.265,63.598,216.382,347.269,295.769,481.758,438.431,321.401,66.759,254.688,169.649,425.856,164.773,238.937,316.591,286.828,367.753,53.126,121.891,376.872,210.909
"Grant",121.336,219.37,416.74,120.645,122.779,357.696,63.273,757.132,310.255,335.083,153.735,246.218,73.685,196.863,54.931,636.596,132.681,241.468,174.327,738.646,135.295,400.448,658.584,363.389,0,236.28,455.914,178.024,294.904,127.763,802.696,380.234,72.414,331.529,170.733,215.624,242.552,171.698,208.417,144.892,113.349,275.125,344.728,84.981,420.912,614.013,326.915,155.297,37.011,103.191,489.875,574.554,141.691,430.149,284.011,190.019,59.562,371.651,229.328,321.201,97.392,17.65,381.84,485.55,91.663,539.255
"Gregory",361.206,238.057,205.884,151.442,362.649,343.76,262.632,573.528,99.399,203.193,97.982,337.66,236.578,386.93,297.196,452.992,177.492,342.401,414.197,487.938,116.041,303.293,382.138,247.773,236.231,0,272.31,417.894,197.219,185.381,619.092,196.63,178.792,162.256,100.733,181.694,20.156,291.236,381.621,112.674,126.135,91.521,435.565,234.514,343.21,430.409,308.994,236.257,255.265,343.061,279.019,390.95,153.906,263.224,523.881,198.738,258.921,188.047,29.282,110.345,150.18,236.759,302.065,318.356,194.754,355.651
"Haakon",510.833,358.864,127.16,414.404,512.276,397.751,522.34,305.119,202.834,258.212,346.297,395.098,532.752,446.426,446.823,201.311,327.119,399.839,563.824,303.361,338.74,354.437,223.299,300.892,455.872,272.445,0,466.147,255.58,335.008,350.683,144.102,402.488,218.713,329.299,295.015,292.575,411.48,445.384,372.942,348.834,182.301,492.246,384.141,393.568,178.728,365.84,385.884,440.042,492.688,200.295,139.269,414.174,234.495,542.106,319.562,518.629,139.043,251.277,164.16,379.601,460.526,357.084,282.157,469.645,167.277
"Hamlin",67.86,147.266,625.365,298.434,62.377,195.655,230.201,630.843,511.484,231.386,331.348,84.177,240.613,34.822,154.946,747.1,243.185,79.427,24.589,849.15,295.367,238.407,769.088,210.789,177.657,417.328,465.561,0,211.391,238.267,676.407,324.465,250.151,248.905,355.854,209.508,416.843,93.057,46.376,322.681,273.421,385.629,182.687,153.999,258.871,605.742,164.874,161.021,147.903,101.257,698.5,685.058,319.48,277.549,121.97,186.364,226.49,330.078,410.376,522.43,275.129,195.387,219.799,323.509,269.452,421.699
"Hand",202.076,71.835,368.972,253.296,190.41,150.243,361.232,488.445,255.091,40.451,185.189,142.929,371.644,194.257,285.715,455.211,166.011,147.67,226.682,547.951,177.632,106.143,477.199,68.757,294.764,197.675,254.994,211.397,0,173.9,534.009,113.898,241.38,38.338,168.191,82.241,203.837,124.451,193.215,211.834,187.726,127.469,244.738,223.033,146.06,395.175,113.671,146.918,278.934,236.197,442.107,393.169,253.066,135.517,289.937,100.185,357.521,119.511,188.383,266.037,218.493,299.418,104.915,192.031,308.537,279.301
"Hanson",182.615,88.736,393.542,96.708,184.058,244.659,194.122,635.813,279.661,213.764,115.16,179.889,204.534,201.212,118.605,515.277,9.826,175.139,235.606,617.327,79.179,279.456,537.265,242.07,127.654,185.505,334.595,239.303,173.585,0,681.377,258.915,84.792,210.21,124.031,94.305,185.02,111,201.385,107.936,57.233,153.806,284.093,48.796,304.021,492.694,209.893,56.066,111.824,164.47,466.677,453.235,112.258,308.83,345.29,59.385,190.411,250.332,178.553,290.607,61.905,132.308,278.228,365.344,141.427,417.936
"Harding",728.037,604.977,473.828,761.072,722.554,483.864,869.008,45.564,549.502,502.57,692.965,592.135,879.42,643.463,793.491,292.346,673.787,596.876,684.792,340.783,685.408,440.55,329.166,465.664,802.54,619.113,350.683,675.621,533.972,681.676,0,423.988,749.156,497.105,675.967,584.792,639.243,658.592,632.608,719.61,695.502,528.969,566.053,730.809,465.965,189.358,514.122,656.072,786.71,839.356,414.68,235.074,760.842,399.267,626.302,609.339,865.297,418.929,597.945,510.828,726.269,807.194,464.322,355.551,816.313,254.974
"Hughes",315.065,184.824,253.431,339.695,303.399,255.99,447.631,379.369,183.268,116.451,271.588,253.337,458.043,304.665,372.114,345.281,252.41,258.078,339.671,438.021,264.031,212.676,367.269,159.131,381.163,197.736,145.064,324.386,113.819,260.299,424.933,0,327.779,76.952,254.59,164.519,217.866,237.44,303.623,298.233,274.125,107.592,350.485,309.432,251.807,285.245,224.079,235.799,365.333,335.375,326.566,283.239,339.465,92.734,400.345,189.066,443.92,9.581,176.568,164.806,304.892,385.817,215.323,140.396,394.936,173.59
"Hutchinson",193.77,165.835,359.273,48.621,195.213,312.443,122.272,703.597,252.788,281.548,81.699,232.481,110.258,229.291,127.365,583.061,79.124,227.731,246.761,685.111,62.861,347.24,605.049,309.854,72.414,178.813,402.379,250.458,241.369,84.552,749.161,326.699,0,277.994,98.697,162.089,170.239,163.592,236.495,74.475,55.882,221.59,349.899,76.875,371.805,560.478,277.677,140.956,109.445,175.625,432.408,521.019,78.797,376.614,356.445,136.484,118.561,318.116,171.861,263.734,25.356,60.986,346.012,433.128,63.795,485.72
"Hyde",239.551,109.31,334.009,289.921,227.885,185.137,397.857,451.545,220.128,40.937,221.814,177.823,408.269,229.151,322.34,418.311,202.636,182.564,264.157,511.051,214.257,141.037,440.299,85.517,331.389,162.712,218.094,248.872,38.305,210.525,497.109,76.998,278.005,0,204.816,118.866,182.842,161.926,228.109,248.459,224.351,92.506,279.632,259.658,180.954,358.275,148.565,190.146,315.559,273.672,407.144,356.269,289.691,100.968,324.831,143.413,394.146,82.611,153.42,231.074,255.118,336.043,139.809,156.1,345.162,242.401
"Jackson",299.708,176.511,281.406,86.111,301.151,282.214,197.301,630.725,174.921,208.676,16.997,276.114,171.247,325.432,235.698,510.189,115.994,280.855,352.699,612.239,52.218,274.368,457.66,236.982,178.027,100.946,329.507,356.396,168.497,123.883,676.289,253.827,98.702,205.122,0,131.86,108.787,229.738,320.123,47.343,67.931,148.718,374.019,173.016,314.285,487.606,247.448,174.759,197.061,281.563,354.541,448.147,88.575,303.742,462.383,137.192,193.59,245.244,93.994,185.867,75.815,159.305,273.14,360.256,129.423,412.848
"Jerauld",189.001,63.849,353.447,174.167,180.973,169.552,282.103,539.24,239.566,122.42,133.675,163.452,292.515,207.892,206.586,475.182,79.155,168.193,224.808,577.232,98.455,188.112,497.17,150.726,215.635,182.15,294.5,209.523,82.241,94.771,584.804,164.526,162.251,118.866,131.842,0,192.88,116.465,206.85,132.657,108.549,111.944,261.357,128.611,228.029,452.599,134.786,71.28,199.805,170.856,426.582,413.14,173.889,217.486,303.572,24.547,278.392,169.452,172.858,250.512,139.364,220.289,186.884,274,229.408,333.461
